name,Location,Date,Fatalities,Regugees,Narrative/Notes,Source,Overflow,lon,lat
Philadelphia riot,"Philadelphia, Pennsylvania",1-Aug-1904,Unknown,unknown,"This account of a race riot sparked by a police officer's attempt to arrest an African American for a petty offence, concludes that the ""solution to the negro problem"" is to ""send them back to Africa.""",http://goo.gl/0Wt2Wh,,-75.1635262,39.9527237
Statesboro killings,"Statesboro, Georgia",18-Aug-1904,2+,25+,"Lynchings, murders, whippings reported across the county. The tongue and bones of one of the burnt deceased shown as souvenirs.",http://nwspprs.com/1hunb,,-81.7832912,32.4490141
Senatobia whippings,"Senatobia, Mississippi",5-Mar-1905,"0",Unknown,"""Three negroes were whipped last night, and the house of Orange Bruce, a negro, was perforated with bullets""",http://goo.gl/8eryrm,,-89.9687011,34.6176032
Construction of I-94 Destroys Rondo Avenue,"John Ireland Blvd, St. Paul, Minnesota",9-May-1905,"0","1,000+","City and state officials in the Twin Cities chose to build the I-94 freeway straight up the middle of Saint Paul's Rondo neighborhood, displacing hundreds of people from their homes and destroying an entire Black commercial and cultural center, even though there was a more convenient route available that would displace nobody.

In the 1930s, Rondo Avenue was at the heart of St. Paul's largest African American neighborhood that was displaced in the 1960s by freeway construction. African Americans whose families had lived in Minnesota for decades and others who were just arriving from the South made up a vibrant, vital community that was in many ways independent of the white society around it. The construction of I-94 shattered this tight-knit community, displaced thousands of African Americans into a racially segregated city and a discriminatory housing market, and erased a now-legendary neighborhood. While the construction of I-94 radically changed the landscape of the neighborhood, the community of Rondo still exists and its persistence and growth are celebrated through events like Rondo Days and the Jazz Festival.",http://libguides.mnhs.org/rondo,,-93.1080693,44.9466302
Harrison Pogrom,"Harrison, Arkansas",1-Sep-1905,Unknown,Unknown,"""The rioters then swept through Harrison’s black neighborhood, tying men to trees and whipping them, burning several homes and warning all African Americans to leave that night. Most fled without any belongings. """,http://goo.gl/s2GpIb,,-93.1076765,36.2297936
Dublin whippings,"Bellevue Road, Dublin, Georgia",29-Nov-1905,"0",2+,"Two African Americans accused of ""sending threatening letters"" were whipped by a white mob and ordered to leave the town",http://nwspprs.com/1jdtc,,-82.9437289,32.5270505
Springfield Race Riot,"Springfield, Illinois",28-Feb-1906,Unknown,unknown,"At least 300 white rioters involved, many were teenagers.",http://goo.gl/3OMykD,,-89.6439575,39.7990175
Greensburg race riot,"Greensburg, Indiana",30-Apr-1906,"0",Unknown,"After an alleged rape of a white woman by a mentally-ill African American a white mob attempted to lynch to suspect but were fought off by law enforcement officials. ""They then went on a rampage in the black section of Greensburg, shooting and torching homes, destroying businesses, and beating blacks at random. Many blacks were driven out of the town, never to return. No one was ever arrested or tried for participating in the riots.""""",https://goo.gl/XQAnVG,,-85.483581,39.3372722
Brownsville Affair,"Brownsville, Texas",13-Aug-1906,3+,167 innocent soldiers discharged,"""The Brownsville Affair, or the Brownsville Raid, was a racial incident that arose out of tensions between black soldiers and white citizens in Brownsville, Texas, in 1906. When a white bartender was killed and a police officer wounded by gunshot, townspeople accused the members of the 25th Infantry Regiment, a unit of Buffalo Soldiers stationed at nearby Fort Brown. Although commanders said the soldiers had been in the barracks all night, evidence was planted against them.""",http://goo.gl/memR9T,,-97.4890856,25.9140256
Atlanta race riot,"Atlanta, Georgia",22-Sep-1906,25+,Unknown,"""The local press contributed to the climate by publishing a number of articles claiming that black men had sexually assaulted white women. Almost all of the reports were false. By September, many felt that a race riot would soon explode. On Saturday, September 22, white crowds along Decatur street, many of them drunk and inflamed by the headlines, began to gather. Someone shouted, ""Kill the niggers,"" and soon the cry was running along the crowded streets. Some 10,000 men and boys in the mob began to search for African Americans. Whenever the whites would see one, someone would cry, ""There is one of the black fiends""; minutes later, the ""fiend"" would be dead or beaten senseless. Among the many victims, a disabled man was chased down and beaten to death. The mob rampaged for several days before the militia restored order. Officially, 25 blacks and one white died. Unofficially, over 100 may have died."" via PBS. N.B. A 13 y/o Walter White survived this riot (future head of the NAACP)",http://goo.gl/ZkSTSq,,-84.3902644,33.7489924
Pittsburgh riot,"Pittsburgh, Pennsylvania",30-Nov-1906,"1",unknown,"""The action of a negro policeman, who attempted to arrest a white man at Pittsburgh, precipitated a race riot, and the policeman received fatal injuries.""",http://goo.gl/lAKDq5,,-79.9900861,40.4416941
Kimpser riot,"Kimpser, Mississippi",29-Dec-1906,15+,unknown,"Report unclear. Seems to have been a number of riots, before and after militia sent in.",http://goo.gl/49UTCX,,-89.75036,32.75041
Thaxton railroad riot,"Thaxton, Virginia",15-Feb-1907,3+,Unknown,Labour dispute at railroad camp,http://goo.gl/hGg1un,,-79.6164233,37.3529172
Kirk plantation race riot,"George Kirk Road, Yazoo City, Mississippi",8-Jul-1907,5+,Unknown,"Altercation between workers leads to shoot out. All the African Americans involved were either shot, lynched or whipped.",http://goo.gl/ac1CAH,,-90.376677,32.837177
Hillsboro Riot,"Hillsboro, Illinois",8-Aug-1907,"0",Unknown,"""lll feeling toward negroes which has been brewing since last Friday night, when John T. Maddox, an aged white man, was assaulted by a negro, culminated in a serious riot last night. Negroes and white citizens fought in the public square for several hours and the population was in a turmoil. Finally most of the negroes fled from the town and order was restored.""",http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=LAH19070809.2.44&srpos=1&e=-------en--20--1--txt-txIN-%22negroes+fled%22------#,,-89.4933899,39.1609575
Onancock riot,"Onancock, Virginia",10-Aug-1907,Unknown,Unknown,"During the race riot in Onancock in 1907, the black neighbourhood was terrorised by a white mob; many African American businesses were destroyed.",http://www.jstor.org/stable/4248730,,-75.7491015,37.7118
McLaurin shootings,"Mclaurin, Mississippi",25-Sep-1907,"6",Unknown,"Labour dispute; 6 Afro-Americans shot",http://goo.gl/hNJZdl,,-89.2172808,31.1679579
Henryetta Pogrom,"Henryetta, Oklahoma",25-Dec-1907,2+,Unknown,"After the lynching of an African American, the white mob warned all AAs to leave the town within 48 hours. ",http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=SFC19071226.2.100&srpos=2&e=-------en--20--1--txt-txIN-%22Negroes+flee%22------#,,-95.9819194,35.4399264
Birmingham whippings,"Birmingham, Marshall County, Kentucky",4-Jan-1908,"2",Unknown,"Conviction of a ""night rider"" who was part of white group that killed an elderly African American and his granddaughter. He was also charged with ""whipping several negroes""",http://nwspprs.com/1j9mu,,-88.2236421,36.9064438
Bryson riots,"Bryson, North Carolina",1-Mar-1908,"5",unknown,"After an altercation between whites and blacks ""the Bryson City town council and Swain County commissioners took action immediately after the affray, passing a curfew applicable only to the African-American population, requiring them to be off the streets of town by 9:00 pm.  Any who were not would be arrested."" ",http://goo.gl/VI9Y9i,,-80.22446,36.054928
Sabine County Pogrom,"Sabine County, Texas",24-Jun-1908,10+,1000+,"10 African Americans were lynched, 50 were beaten and 1,000 fled to Louisiana after being threatened with death.",http://nwspprs.com/1j9t0,,-93.8722218,31.3325489
Springfield Race Riot,"Springfield, Illinois",14-Aug-1908,"6","2500","""The mob burned black-owned homes in the Badlands, destroying a four-block area and doing much damage to neighboring streets.[8] They encountered Scott Burton, an African American who owned his barber shop and had only whites as clients. Burton defended his business by firing a warning shot; the mob killed him with return fire. They burned his shop and dragged his body to a nearby saloon, hanging it outside from a tree."" Leads to the formation of the NAACP.",http://goo.gl/ZVRLWY,,-89.6439575,39.7990175
"Big Springs ""Sundown Town""","Big Springs, Rusk County, Texas",11-Feb-1909,Unknown,Unknown,"A large mob of whites chased a Minstrel act out of town. The reason offered by a Texan newspaper was that ""the attack resulted from the bitter feeling here against the negro race resulting from a race riot two years ago, since which time a ban has been placed on the negro coming here.""",http://chroniclingamerica.loc.gov/lccn/sn86090383/1909-11-02/ed-1/seq-1/#date1=1836&index=4&rows=20&words=attacked+negroes&searchType=basic&sequence=0&state=&date2=1922&proxtext=%22negroes+attacked%22&y=0&x=0&dateFilterType=yearRange&page=1,,-94.9674399,32.0673855
"Anna ""Sundown"" Town","Anna, Illinois",11-Aug-1909,1+,300+,"After a lynching the ""mob of angry white citizens drove out Anna's 40 or so black families...""",http://goo.gl/qvzJ6r,,-89.2470282,37.4603274
Jack Johnson-James Jeffries Fight Riots,"Roanoke, Virginia",7-Apr-1910,25+,unknown,"Jack Johnson's defeat of James Jeffries triggers race riots instigated by angry whites nationwide, 25+ cities affected. Roanoke, Virginia just one of them.",http://goo.gl/YkcVRE,,-79.9414313,37.270973
Charleston exodus,"South Street, Reid St, Charleston, Missouri",7-Apr-1910,2+,100+?,"Two lynchings and an attempted third leads to an ""exodus"" of African Americans from Charleston.",http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=SFC19100705.2.17&srpos=4&e=-------en--20--1--txt-txIN-%22Negroes+flee%22------#,,-89.867285,36.811547
Slocum Massacre,"Slocum, Texas",29-Jul-1910,8-100+,"1,000+","""A successful, self-sufficient African American community was the subject of a terrorist attack designed to maintain economic white supremacy.""",http://goo.gl/51jLXj,,-95.4621725,31.6312864
Kevil exodus,"Kevil, Ballard County, Kentucky",13-Oct-1903,"1",Unknown,"African Americans, fearing mass reprisals after the killing of a white man, flee from the Kevil section of Ballard County. ",http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=LAH19031014.2.83&srpos=1&e=-------en--20--1--txt-txIN-%22Negroes+flee%22------#,,-88.8867275,37.0850537
Sour Lake Pogrom,"Sour Lake, Texas",7-Sep-1903,1+,100+,"""Indignation was expressed at Sour Lake when this news was made public and in a few minutes notices were posted In twenty-five or thirty conspicuous places about town. They read: ""Nigger, don't let the sun go down on you in Sour Lake tonight."" Many negroes hastily left the city. Over fifty left for Houston and Beaumont. The exodus continued tonight and many walked out of town.""",http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=LAH19030710.2.66&srpos=7&e=-------en--20--1--txt-txIN-%22negroes+fled%22------#,,-94.4110239,30.1402122
Whitesboro whippings,"Whitesboro, Texas",16-Aug-1903,"0",100+,"Seventeen African Americans were publicy whipped and ""a great many negroes had fled the town"". The streets were patrolled by ""armed white men.""",http://nwspprs.com/1jbkv,,-96.9059847,33.6564674
Lewisburg killings,"Lewisburg, Tennessee",4-Aug-1903,"2",Unknown,Whitecap mob of between 15 and 30 men attacked the home of an African American preacher and he shot in back as he attempted to escape. His son in law was kidnapped and later shot.,https://goo.gl/aoasNx,,-86.7888887,35.4492404
Lorain Mob,"Lorain, Ohio",28-Jul-1903,"0",Unknown,"""a mob of 300 whites chased two colored men and threatened to lynch them.""

The Mayor addressed the mob and apparently calmed them down.",http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=LAH19030729.2.14&srpos=16&dliv=none&e=-------en--20--1--txt-txIN-%22Negro+exodus%22------,,-82.1781904,41.4673238
Evansville race riot,"Evansville, Indiana",3-Jul-1903,12+,Unknown,"""Many African American families fled and never returned.""",http://goo.gl/uc04IT,,-87.5558483,37.9747645
Smith County Violence,"Burns, Smith County, Mississippi",16-May-1903,3+,Unknown,"""A rare war has broken out near Burns, Smith county. The whites there are up in arms and are whipping and killing negroes wherever they find them. One white man is reported to have been mortally wounded and several negroes killed.""",http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=LAH19030517.2.179.168&srpos=4&e=-------en--20--1--txt-txIN-%22negroes+fled%22------#,,-89.5478475,32.1354292
St Tammany riot,"St Tammany, New Orleans",11-May-1903,"4",Unknown,"""Insolent negro"" beaten by grocery clerk.",http://goo.gl/KvSFO7,,-90.07507,29.95465
Santa Fe Burnings,"Santa Fe, Illinois ",26-Apr-1903,1+,Unknown,"After lynching of a seventeen year old African American the white mob attacked a ""colony of negroes living in tents"" who were engaged in bridge construction work. ""The tents were burned and many negroes were shot..."" ","https://news.google.com/newspapers?nid=1913&dat=19030424&id=XSYgAAAAIBAJ&sjid=5WoFAAAAIBAJ&pg=2626,6172319&hl=en",,-89.494331,40.9233097
Littleton riot,"Littleton, Alabama",19-Oct-1902,3+,Unknown,"Altercation between whites and blacks leads to ""white citizens of Littleton become alarmed from fear"". Sheriff called in to ""protect town"" from African Americans.",https://goo.gl/zxap9c,,-86.9980528,33.6887161
Orangeburg riot,"Orangeburg, South Carolina",30-Jul-1902,"1",unknown (27 wounded),"
",http://nwspprs.com/1hk5l,,-80.8556476,33.4918203
Excelsior Springs whippings,"Excelsior Springs, Missouri",30-Jul-1902,"0",unknown,"Whitecaps took three African Americans from the jail, tied them to a tree and whipped them. Ordered to leave town.",http://nwspprs.com/1j9vm,,-94.2223507,39.3417244
Langley train riot,"Langley, Georgia",5-Jul-1902,2+,unknown,"Two wounded negroes ""captured and locked up. Soon afterwards they were taken out by the mob and shot.""",http://goo.gl/8YXNog,,-82.0239504,33.4838713
Balltown riot,"Washington, Louisiana",11-May-1902,30+,unknown,An African American was burned at the stake by a white mob (who they accussed of committing assult). This white mob apparently forced another African American to light the pyre. The fallout was an extremely violent race riot.,http://goo.gl/ovl7NG,,-92.057063,30.6163073
Spindletop intimidations,"Spindletop hill, Beaumont, Texas",5-Apr-1902,"0",Unknown,"Labour Intimidation: Whitecaps placed a large sign on the hill which read ""all negroes get off the hill at once, or they will be drove off, by order of the whitecaps""",http://goo.gl/Z0rI5F,,-94.0607331,30.0313243
Colleton Lynchings,"Colleton County, South Carolina",6-Jan-1902,3+,Unknown,"Three black men (and possibly a fourth) were lynched for allegedly killing a white woman during a robbery in May.  A mob took one of the victims from police custody before tying the man to a pine tree and shooting him to death.  After the lynching, rumors of a race riot circulated.

Source:Finnegan, “Lynching in the Outer Coastal Plain Region of South Carolina and the Origins of African American Collective Action, 1901-1910” in Toward the Meeting of the Waters, 42.

",,,-80.677114,32.8620726
Opp riot,"Opp, Alabama",4-Dec-1901,2+,Unknown,Race riot following presumed murder of two whites by black,http://goo.gl/nTU5Ll,,-86.2555067,31.2826685
Attempted lynching at Newburg,"Newburg, Warwick County, Indianapolis",1-Oct-1901,"0",Unknown,"""The sequel to an attempt made by a mob of white men last night to drive front Newburg, Warwick County, a negro whose wife is alleged to be a white woman, may be an attempt to lynch the black man. The negro moved into the vlllage a few days ago. The report that his wife was a white woman aroused indignation and he was ordered to leave. He refused to obey the order and a crowd of thirty or forty whites went to his house and commanded him to come out. The negro fired at the whites and the shooting became general. Sixty shots were fired, but nobody was wounded. The mob finally retired.""",http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=SFC19010111.1.11&srpos=23&e=-------en--20--21-byDA-txt-txIN-%22white+mob%22------#,,-86.15804,39.76838
Sapulpa Pogrom,"Sapulpa, Oklahoma",26-Aug-1901,N/A,N/A,"White mob formed to ""drive all the negroes out of town""",http://chroniclingamerica.loc.gov/lccn/sn83040340/1901-08-30/ed-1/seq-5/#date1=1836&index=0&rows=20&words=negroes+out+ran+town&searchType=basic&sequence=0&state=&date2=1922&proxtext=%22negroes+ran+out+of+town%22&y=0&x=0&dateFilterType=yearRange&page=1,,-96.1049612,36.0005035
Stroud Pogrom,"Stroud, Oklahoma",26-Aug-1901,N/A,N/A,"After an altercation between a black man and some white men, a white mob formed and burned two African American homes and ""ran all the negroes out of town"" ",http://chroniclingamerica.loc.gov/lccn/sn83040340/1901-08-30/ed-1/seq-5/#date1=1836&index=0&rows=20&words=negroes+out+ran+town&searchType=basic&sequence=0&state=&date2=1922&proxtext=%22negroes+ran+out+of+town%22&y=0&x=0&dateFilterType=yearRange&page=1,,-96.6566742,35.7477749
Pierce City Pogrom,"Pierce City, Missouri",19-Aug-1901,3+,300+,"""White residents in Pierce City ignited a 15-hour rampage with weapons stolen from a state militia arsenal and violently banished the town’s 300 black residents.""",http://goo.gl/6CTBe7,,-94.0002099,36.9458953
Elsberry whippings,"Elsberry, Missouri",19-Mar-1901,"0",3+,Three African Americans were publicly whipped by a white mob and ordered to leave the town.,http://nwspprs.com/1jblz,,-90.7809598,39.1667151
Calvert city whippings,"Calvert City, Kentucky",29-Dec-1900,"0",unknown,"Five African Americans who entered the town were told to leave. They did not do so, hence they were whipped and forced out.",http://t.co/m0DW2aOIuL,,-88.3500362,37.0333896
Akron riot,"Akron, Ohio",18-Oct-1900,Unknown,unknown,Article relates this riot to those in New Orleans & New York already listed,http://goo.gl/Jd77px,,-81.518485,41.083064
Thorpe Riot,"Ninth Avenue, New York, New York",15-Aug-1900,"0",unknown,"""In a few moments the mob swelled to 1,500 people or more, and as they became violent the negroes fled in terror Into any hiding place they could find. The police reserves from four stations, numbering 400 in all, were called out. The mob of white men, which grew with great rapidity, raged through the district, and. negroes, regardless of sex or age were indiscriminately attacked. Scores were injured.""",http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=LAH19000816.2.146&srpos=6&e=-------en--20--1--txt-txIN-%22negroes+fled%22------#,,-73.9467472,42.7936923
Robert Charles Riots,"Metairie, New Orleans, Louisiana",23-Jul-1900,28+,"unknown- but reports of ""colored people fleeing the city""","Riot triggered after Robert Charles, a black laborer, engaged in shootout with New Orleans police.",https://goo.gl/jwWtXb,,-90.118446,29.9833023
Tifton murders,"Tifton, Georgia",28-Jan-1900,"2",Unknown,Two innocent African Americans were whipped and beaten to death after being falsely accused of stealing an overcoat. Marshal implicated.,http://nwspprs.com/1hplb,,-83.5096866,31.4522765
Fort Ringgold riots,"Fort Ringgold, Texas",25-Nov-1899,Unknown,Unknown,White mob attacked black soldiers,http://goo.gl/MBLpO6,,-97.9431749,33.819209
MOVE Bombing,"Osage Avenue, Philadelphia",13-May-1985,"11",61 Homes were destroyed. A working class black neighbourhood was turned to ash.,"Collective punishment. Police bomb black residential area in stand-off. ""At 5:28 p.m., a satchel bomb composed of FBI-supplied C4 and Tovex TR2, a dynamite substitute, on a 45-second timer was dropped from a state police helicopter, detonating near the fortified pillbox on the roof of the house. Within minutes, a fire had consumed the roof and begun to spread. Firefighters, already fearful of being shot at by MOVE members, were told to let the fire burn. The blaze raged out of control, spreading down the block of row houses and hopping the narrow streets.""",http://mashable.com/2016/01/10/1985-move-bombing/#iWw0tTEUqkqa,,-75.228241,39.953243
Louisville Anti-Busing Riots,"Louisville, Kentucky",5-Sep-1975,"0","0","""10,000 Rampage in Louisville Busing Fight"" - Chicago Tribune (6th September 1975)

Experimenting with desegregation, white residents threw objects at police to protest school busing of black and white students between the city and its suburbs. Kentucky National Guardsmen were called to the city the day after.",http://archives.chicagotribune.com/1975/09/06/page/80/article/10-000-rampage-in-louisville-busing-fight,,-85.759407,38.2542376
Rosedale House Bombing,"Rosedale, Queens, New York",31-Dec-1974,"0",Unknown,The KKK firebombed a black family's home in a predominately white area on New Year's Eve.,https://goo.gl/Sp9y1A,,-73.7354097,40.6620479
Boston Busing riots,"South Boston High School, Boston",9-Dec-1974,"0",Unknown,"""Southie was ground zero for anti-busing rage. Hundreds of white demonstrators — children and their parents — pelted a caravan of 20 school buses carrying students from nearly all-black Roxbury to all-white South Boston. The police wore riot gear.

“I remember riding the buses to protect the kids going up to South Boston High School,” Jean McGuire, who was a bus safety monitor, recalled recently. “And the bricks through the window. Signs hanging out those buildings, ‘Nigger Go Home.’ Pictures of monkeys. The words. The spit. People just felt it was all right to attack children.”",http://goo.gl/TaeIvj,,-71.0448275,42.3328966
Orangeburg Massacre,"South Carolina State College, Orangeburg, South Carolina",8-Feb-1968,"3",Unknown (27 wounded),"Following several nights of protests over the refusal of the All-Star Bowling Lanes to desegregate despite the passage of the Civil Rights Act four years earlier, Black students gathered for a peaceful protest on the campus of South Carolina State College in Orangeburg. During the protest, students lit a bonfire in the heart of the campus and continued to loudly call for change. Meanwhile, officers from the South Carolina highway patrol and National Guard soldiers moved towards campus. Later that evening, highway patrolmen converged on the campus to disperse the crowd and enable local firefighters to douse the flames. Accounts differ on what happened next but shortly after their arrival, the patrolmen opened fire on the students killing three and wounding twenty-seven.  Nine patrolmen were arrested and put on trial. All were acquitted. The only individual arrested, convicted, and imprisoned for his supposed role in the massacre was Cleveland Sellers, a longtime civil rights activist and former field organizer with the Student Nonviolent Coordinating Committee.
","Robert Terrill and Cleveland Sellers, The River of No Return; Sellers, The Orangeburg Massacre",,-80.8468434,33.4987851
Marquette Park Riots,"Marquette Park, Chicago, Illinois",31-Jul-1966,"0","0","An anti-housing integration riot.

Account of Bernard Kleina: ""As we started marching, angry whites started spitting on me and the other marchers. Not being mentally prepared to accept this kind of degrading abuse, I told someone in the mob, “I wouldn’t do that if I were you,” as if I were ready to take onthe whole mob. (I think I may have been a little naïve at the time.) Then an older African-American man in front of me turned around and said, “Remember why you’re here, brother” and from that point on, I remained silent andwalked in solemn procession while rocks, bottles and cherry bombs were being thrown at us over the heads of the police who were “escorting” the marchers through the park. With the escort of reluctant police officers, it turned out to be the most brutal march I had ever been involved in. In fact, when we returned to our cars, we saw several pushed into the lagoon and others that were set on fire, turned over or damaged in some way. Ironically, there were only three cars not damaged. One was mine, and the other two were the police cars I had parked between. Had I arrived earlier, my car would have been damaged or destroyed like the others.""",http://cfm40.middlebury.edu/book/print/189,,-87.7028826,41.7685506
St. Augustine Beach Riots,"St. Augustine, Floriday",25-Jun-1964,"0",Unknown,"Attempts to integrate Florida beach met by attack of mobs; on first day police rush in, beating and attacking white segregationists and blacks alike.",http://goo.gl/EOkbu0,,,
16th Street Baptist Church bombing,"16th Street Baptist Church, Birmingham, Alabama",15-Sep-1963,"4",Unknown,"Summary from Wikipedia ""The 16th Street Baptist Church bombing was an act of white supremacist terrorism which occurred at the African-American 16th Street Baptist Church in Birmingham, Alabama on Sunday, September 15, 1963, when four members of the Ku Klux Klan planted at least 15 sticks of dynamite attached to a timing device beneath the front steps of the church.

Described by Dr. Martin Luther King, Jr. as ""one of the most vicious and tragic crimes ever perpetrated against humanity,"" the explosion at the church killed four girls and injured 22 others.""",https://goo.gl/ao3LQF,,-86.8149517,33.5167413
Freedom Riders Attacked,"McComb, Mississippi",30-Nov-1961,"0","0","""Police were prepared to enforce federal integration orders today if more ""freedom riders"" arrived at the bus terminal where five Negroes were beaten by a white mob two days ago.""",http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=DS19611201.2.11&srpos=32&e=-------en--20--21-byDA-txt-txIN-%22white+mob%22------#,,-90.4531536,31.2437872
Alabama riots,"Montgomery, Alabama",22-May-1961,"0",Unknown,"""The trouble at the Negro First Baptist Church erupted this evening when a crowd of white men, women and children began throwing stones through the windows as black civil rights leader Dr Martin Luther King was speaking.""",http://goo.gl/l76l3t,,-86.3006485,32.3669656
Alabama riots,"Birmingham, Alabama",22-May-1961,Unknown,unknown,"""The incidents occurred as a white mob attacked a group of ""freedom riders"" whites and blacks trying to
break the colour bar in southern bus depots. Some of the Negro groups managed to extricate themselves from the melee and ran from the depot with about 100 whites in pursuit. A Negro girl wept, hysterically as a dozen whites
jumped on her black copanion, hammering him as he lay helpless on the ground.""",http://goo.gl/HXm3XI,,-86.8024326,33.5206824
Jacksonville Riots,"Jacksonville, Florida",27-Aug-1960,"1",unknown,"also known as Ax Handle Saturday; white mobs descent on sit-in demostrators sparking riots and retaliations",http://goo.gl/Ts7EkX,,-81.655651,30.3321838
Chattanooga Riot,"Chattanooga, Tennessee",23-Feb-1960,"0",unknown,Sit-ins by African-American students causes white mobs to riot,,,-85.3094883,35.0457219
Kentucky riots,Kentucky,21-Sep-1956,Unknown,unknown,Wave of riotous attacks on blacks by whites in 'Deep South',http://goo.gl/lXV0PU,,-85.1551411,37.5726028
Murder of Harry and Harriette Moore,"Mims, Florida",25-Dec-1951,"2","0","Only six weeks later, on Christmas Day 1951, Moore himself was killed when a bomb was placed beneath the floor joists directly under his bed. Moore died on the way to the hospital; his wife, Harriette, died nine days later.

The protests over the Moores' deaths rocked the nation, with dozens of rallies and memorial meetings around the country. President Truman and Florida Governor Fuller Warren were inundated with telegrams and protest letters.

Despite an extensive FBI investigation, however, and two later investigations, the murders have never been solved. Harry Moore was the first NAACP official killed in the civil rights struggle, and he and Harriette are the only husband and wife to give their lives to the movement.
",http://www.pbs.org/harrymoore/harry/mbio.html,,-80.8447766,28.6652727
Cicero Riot,"Cicero, Illinois",11-Jul-1951,"0","25",4000 whites attack attack black family who moved into apartment.,http://goo.gl/qhVZeJ,,-87.7540199,41.8455398
Second Peekskill Riots,"Cortlandt Manor, Westchester County, New York
",4-Sep-1949,"0",Unknown,"100 injured; anti-Paul Robeson mob attacks again after first concert called off.",http://goo.gl/oGLtW9,,-74.002918,40.717148
Peekskill Riots,"Peekskill, New York",27-Aug-1949,"0",Unknown,"anti-Paul Robeson, anti-Semitic, anti-communist, Klan led",http://goo.gl/i0BjYX,,-73.9204922,41.289811
Fernwood Park riot,"Chicago, Illinois",15-Aug-1949,Unknown,Unknown,White mob started violently oppossed the introduction of black residents to the area. Lasted for three days. Police did not intervene with any effectiveness.,https://goo.gl/8ddlj5,,-87.6244212,41.8755616
Fairgrounds Park Riots,"St. Louis, Missouri",25-Jun-1949,"0",Unknown,200 strong white mob surround and attack 40 black swimmers at public pool.,https://goo.gl/AJgRwA,,-90.1998378,38.6264178
Dade County whippings,"Dade County, Georgia",4-Apr-1949,"0",Unknown,The KKK took seven African Americans from the sheriff and whipped them.,http://nwspprs.com/1jdrw,,-85.4998791,34.8722084
Governor threatens Black Community,"Jackson, Mississippi",5-Sep-1948,"0",Unknown,"Gov. Fielding Wright, in a radio address, urges those Mississippi blacks seeking equality to ""make your home in some state other than Mississippi""

(Source: Newton and Newton, 1991, p. 424)",,,-90.1847691,32.2990384
Wrightsville Intimidations,"Wrightsville, Georgia",3-Feb-1948,"0",Unknown,"""Three hundred robed Klansmen parade, declaring that ""blood will flow in the streets of the South"" if blacks seek equality. On March 3, election day, not one of the town's 400 registered African Americans attempts to vote.""

Source: ""The Great Long National Shame"": Selected incidents of racial violence in the United States, Peter Lang AG (Counterpoints, Vol. 163, 2001)",,,-82.7198591,32.7293279
Athens race riot,"Athens, Alabama",10-Aug-1946,"0",Unknown,"50 to 100 African Americans were injured by a white mob of around 2,000 people.",http://goo.gl/tU2aXC,,-86.9747955,34.745419
Columbia Race Riot,"Columbia, Tennessee",25-Feb-1946,"0",Unknown,"Black homes and businesses looted; over 100 Blacks arrested",http://goo.gl/PYHQEM,,-87.0352831,35.6150716
Airport Homes riots,"West Elsdon, Chicago, Illinois",1-Jan-1946,Unknown,unknown,"Summary from Wikipedia: “Airport Homes” was the name of the site in nearby West Lawn established by the Chicago Housing Authority to provide temporary housing to returning veterans and their families during the postwar housing shortage. Residents of West Lawn and West Elsdon rioted and succeeded in intimidating a few black war veterans and their families from joining white veterans in the homes.""",https://goo.gl/7zIOVq,,-87.7244978,41.7939217
Agana Riot,"Agana, Guam",25-Dec-1944,2+,Unknown,White Marines opened fire on black Marines talking to local women,https://goo.gl/4ZlBKP,,144.757551,13.4501257
Detroit Race Riot,"Detroit, Michigan",20-Jun-1943,"34",Unknown,"""Over the course of three days, 34 people were killed. Of them, 25 were African–Americans, 17 of whom were killed by the police. Thirteen murders remain unsolved. Out of the approximately 600 injured, black people accounted for more than 75 percent and of the roughly 1,800 people who were arrested over the course of the three-day riots, black people accounted for 85 percent.""",https://goo.gl/ngHnnV,,-83.0466403,42.3315509
Beaumont race riot,"Beaumont, Texas",15-Jun-1943,unknown,unknown,"4 white men injured but ""one hospital [was] overflowing with Negroes who have been hurt...[white] mobs roamed the Negro section of the city..."" They pulled some African Americans from their cars, whipped them and set the cars on fire. AAs were also excluded from work in the shipyard in Orange, located 26 miles from Beaumont, in response to the riot.",http://nwspprs.com/1hk55,,-94.1018461,30.0860459
Shipyard race riot,"Mobile, Alabama",25-May-1943,"0",Unknown,"5,000 African American shipyard workers were sent home after some were attacked by white workers who objected to their ""proximity"". This followed the promotion of 12 black workers and up to 4,000 white dock workers rioted, injuring dozens.",http://goo.gl/4KXReE,,-88.0430541,30.6943566
Harlem Race Riot,"Harlem, New York",8-Feb-1943,"6",Unknown,Black soldier shot by police officer after inquiring about woman's arrest.,https://goo.gl/jzRZdX,,-73.9454154,40.8078786
